name,price,link
Teclado Klip Xtreme Keyglider Dual Bluetooth Inalambrico Tactil Español Ñ Pc Windows Ios Android Mac,23.22,https://www.mercadolibre.com.ec/teclado-klip-xtreme-keyglider-dual-bluetooth-inalambrico-tactil-espanol-n-pc-windows-ios-android-mac/p/MEC46014441#polycard_client=search-desktop&search_layout=grid&position=1&type=product&tracking_id=f5173341-e76f-444f-b1de-e61ba7bceb94&wid=MEC626418612&sid=search
Klip Xtreme Kit Teclado Mouse Inalambrico Kbk-520 Color Del Teclado Negro,30.69,https://www.mercadolibre.com.ec/klip-xtreme-kit-teclado-mouse-inalambrico-kbk-520-color-del-teclado-negro/p/MEC26050797#polycard_client=search-desktop&search_layout=grid&position=2&type=product&tracking_id=f5173341-e76f-444f-b1de-e61ba7bceb94&wid=MEC764868886&sid=search
Teclado Mecánico Marvo 60% Saber 61 Kg933g Sp Español Rgb Teclado Negro,36.99,https://www.mercadolibre.com.ec/teclado-mecanico-marvo-60-saber-61-kg933g-sp-espanol-rgb-teclado-negro/p/MEC47439549#polycard_client=search-desktop&search_layout=grid&position=3&type=product&tracking_id=f5173341-e76f-444f-b1de-e61ba7bceb94&wid=MEC625222556&sid=search
"Monitor Asus con pantalla de 15.6"" 60Hz y resolución Full HD",249.99,https://www.mercadolibre.com.ec/monitor-asus-con-pantalla-de-156-60hz-y-resolucion-full-hd/p/MEC43961132#polycard_client=search-desktop&search_layout=grid&position=4&type=product&tracking_id=f5173341-e76f-444f-b1de-e61ba7bceb94&wid=MEC554632534&sid=search
Regulador Cdp R2cu-avr1008 1000va 8 Contactos (r2cu-avr1008) Color Blanco,20.64,https://www.mercadolibre.com.ec/regulador-cdp-r2cu-avr1008-1000va-8-contactos-r2cu-avr1008-color-blanco/p/MEC19867423#polycard_client=search-desktop&search_layout=grid&position=5&type=product&tracking_id=f5173341-e76f-444f-b1de-e61ba7bceb94&wid=MEC750126552&sid=search
Mouse Inalámbrico Meetion BTM010R Rosa Ergonómico Bluetooth 2400 dpi,18.06,https://www.mercadolibre.com.ec/mouse-inalambrico-meetion-btm010r-rosa-ergonomico-bluetooth-2400-dpi/p/MEC49544683#polycard_client=search-desktop&search_layout=grid&position=6&type=product&tracking_id=f5173341-e76f-444f-b1de-e61ba7bceb94&wid=MEC623091758&sid=search
Mouse Inalámbrico Ergonómico Para Diestros Meetion Btm010 Color Violeta,18.06,https://www.mercadolibre.com.ec/mouse-inalambrico-ergonomico-para-diestros-meetion-btm010-color-violeta/p/MEC49954060#polycard_client=search-desktop&search_layout=grid&position=7&type=product&tracking_id=f5173341-e76f-444f-b1de-e61ba7bceb94&wid=MEC622820632&sid=search
Audífonos Gamer Razer Blackshark V2 X RZ0403240100R3M1 Classic Black,63.35,https://www.mercadolibre.com.ec/audifonos-gamer-razer-blackshark-v2-x-rz0403240100r3m1-classic-black/p/MEC16280514#polycard_client=search-desktop&search_layout=grid&position=8&type=product&tracking_id=f5173341-e76f-444f-b1de-e61ba7bceb94&wid=MEC604271368&sid=search
Mouse Vertical Zurdo Inalámbrico Bluetooth USB 2.4G Meetion BTM010L Ergonómico 2400 dpi,17.2,https://www.mercadolibre.com.ec/mouse-vertical-zurdo-inalambrico-bluetooth-usb-24g-meetion-btm010l-ergonomico-2400-dpi/p/MEC50106598#polycard_client=search-desktop&search_layout=grid&position=9&type=product&tracking_id=f5173341-e76f-444f-b1de-e61ba7bceb94&wid=MEC628940588&sid=search
Auriculares Bluetooth Jbl Tune 520bt,62.0,https://www.mercadolibre.com.ec/auriculares-bluetooth-jbl-tune-520bt/p/MEC45457264#polycard_client=search-desktop&search_layout=grid&position=10&type=product&tracking_id=f5173341-e76f-444f-b1de-e61ba7bceb94&wid=MEC671801706&sid=search
